player,current_total,observed_count,champion_bonus,estimated_mean,resid_sd,participation_rate,exp_final,win_prob,top3_prob,top8_prob,p10_final,p50_final,p90_final,win_odds,top3_odds,top8_odds,win_prob_book,top3_prob_book,top8_prob_book,win_odds_book,top3_odds_book,top8_odds_book
Gondy,10133.0,13,0.0,778.311447572637,88.51148494421169,0.95,35930.87355767219,0.22117,0.54051,0.91293,32964.25532034981,35922.70097545947,38917.52079230914,4.521408871004205,1.850104530905996,1.0953742346072535,0.25117,0.5705100000000001,0.94293,3.981367201496994,1.7528176543794147,1.0605241110156638
Umran,10034.0,13,0.0,751.4089387104485,100.7168666975712,0.95,34981.91624926911,0.13607,0.37701,0.79848,31702.78495594651,34983.98055385477,38274.57213659171,7.349158521349306,2.6524495371475556,1.2523795210900712,0.16607,0.40701,0.82848,6.021557174685374,2.456942089874942,1.2070297412128235
Sameer A,8301.0,10,0.0,751.2896305544614,162.20343006606916,0.95,33129.64917744251,0.10918,0.24546,0.51917,28055.587500696285,33187.298618812136,38158.11507456499,9.159186664224217,4.073983541106494,1.9261513569736308,0.13918,0.27546000000000004,0.54917,7.18494036499497,3.6302911493501773,1.8209297667388966
Zaafir,9884.0,13,10.0,755.3964784111116,87.69096318078836,0.95,34960.89210933205,0.10855,0.35612,0.82478,32028.70627960078,34952.99241752971,37907.29371853195,9.212344541685859,2.8080422329551835,1.2124445306627223,0.13855,0.38612,0.85478,7.217610970768675,2.589868434683518,1.1698916680315403
Usman,9617.0,13,10.0,746.2956126065465,103.41523731180324,0.95,34392.77038226622,0.09617,0.29023,0.71867,31035.309871203528,34386.76909348742,37756.88966766955,10.398253093480294,3.4455431898838853,1.3914592232874614,0.12617,0.32023,0.7486700000000001,7.9258143774272805,3.1227555194703807,1.3357019781746295
OGK,9534.5,13,10.0,743.9423330052158,99.47304250159522,0.95,34218.995100733344,0.07702,0.25888,0.70122,30982.666295725456,34219.42103964933,37457.22350000176,12.983640612827836,3.862793572311496,1.426085964461938,0.10702,0.28888,0.73122,9.344047841524949,3.461644973691498,1.3675774732638604
Haider,8779.5,10,0.0,737.4531573879401,123.97070835824107,0.95,33242.18252138116,0.06987,0.20096,0.53586,29197.483812119914,33231.20135267764,37296.58998554585,14.31229426077,4.976114649681529,1.866159071399246,0.09987,0.23096,0.56586,10.013016921998599,4.329754069968826,1.7672215742409783
Reza,8968.0,11,0.0,723.589409537963,109.50323781784383,0.95,33019.93102558095,0.04194,0.15035,0.50701,29434.185400841634,33016.70137878823,36597.93719896954,23.843586075345733,6.651147322913202,1.9723476854499913,0.07194,0.18035,0.53701,13.900472616068946,5.544774050457444,1.8621627157781047
Rafay,9329.5,13,0.0,724.5869588254801,98.5461211982072,0.95,33408.62331299991,0.04006,0.1617,0.57225,30186.29091687733,33402.86234088105,36644.07620274669,24.962556165751373,6.184291898577612,1.747487986020096,0.07006,0.1917,0.6022500000000001,14.273479874393377,5.216484089723526,1.6604400166044
Khizer B,8732.5,12,0.0,725.8908647981723,105.37979478329159,0.95,32846.16586979194,0.03181,0.12676,0.47914,29414.78968913596,32847.75531210938,36301.98730001904,31.436655139893116,7.888923950773114,2.0870726718704344,0.06181,0.15676,0.50914,16.17861187510112,6.379178361826996,1.9640963192834975
Haris,9257.0,13,0.0,706.3747143039623,105.45750811517067,0.95,32740.817660333953,0.02872,0.11689,0.46178,29327.86115405916,32735.451090608633,36164.75445903482,34.81894150417828,8.555051758063136,2.165533370869245,0.058719999999999994,0.14689,0.49178,17.029972752043598,6.80781537204711,2.033429582333564
Affan,8439.5,12,0.0,657.5798276171114,149.11928027050564,0.95,30382.716663614934,0.01759,0.06062,0.22491,25741.66043732239,30371.976464442225,35035.133862732786,56.85048322910744,16.49620587264929,4.446222933617892,0.04759,0.09062,0.25490999999999997,21.01281781886951,11.035091591260207,3.9229531991683344
Subhani,8887.5,8,0.0,807.7368084531555,103.46150930490543,0.6616791550043437,31711.650634537535,0.00864,0.04396,0.27845,28623.488487552942,31643.739254640204,34895.14712815373,115.74074074074073,22.74795268425842,3.5913090321422163,0.03864,0.07396,0.30845,25.87991718426501,13.520822065981612,3.242016534284325
Zayaan,8752.0,10,0.0,744.7650105794306,93.01328363932431,0.81320282613276,31911.329521705593,0.00761,0.04459,0.30573,28938.446108848966,31866.936134505726,34938.759383216115,131.4060446780552,22.426553038797937,3.2708599090700945,0.03761,0.07458999999999999,0.33573,26.588673225206065,13.406622871698621,2.9785839811753494
Rayaan,8323.0,12,0.0,657.2629518472836,117.10748050064039,0.95,30242.668783576126,0.0056,0.02596,0.15962,26508.529705508772,30231.011040239035,34015.60974178783,178.57142857142858,38.52080123266564,6.264879087833604,0.0356,0.055959999999999996,0.18962,28.08988764044944,17.869907076483205,5.273705305347537
Rumail,7141.5,5,0.0,605.275870284986,140.30973123232465,0.2,22478.13562776914,0.0,0.0,0.0,20227.36514618072,22475.571387244087,24735.600000473984,inf,inf,inf,0.03,0.03,0.03,33.333333333333336,33.333333333333336,33.333333333333336
Subhi,7196.5,4,10.0,732.8642839809105,143.33330718048177,0.2,23268.586320342154,0.0,0.0,0.0,20857.188480753703,23229.226775448617,25725.256628627627,inf,inf,inf,0.03,0.03,0.03,33.333333333333336,33.333333333333336,33.333333333333336
Ibaad,6985.5,5,0.0,643.2493857337099,130.3422820370575,0.2,22507.594394962773,0.0,0.0,0.0,20259.6136448389,22502.005588073007,24764.78155239479,inf,inf,inf,0.03,0.03,0.03,33.333333333333336,33.333333333333336,33.333333333333336
