,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
OGK,0.04154,0.06449,0.08584,0.0998,0.10904,0.11047,0.10297,0.09088,0.07752,0.06383,0.05043,0.03896,0.02733,0.01766,0.01044,0.00576,0.00237,0.00067
Zaafir,0.25211,0.24806,0.18274,0.12279,0.08094,0.05034,0.02986,0.01592,0.00894,0.00445,0.00233,0.00098,0.00042,0.0001,2e-05,0.0,0.0,0.0
Subhi,0.04394,0.04706,0.05328,0.06073,0.06478,0.07193,0.07309,0.07248,0.07274,0.07034,0.06654,0.06661,0.05991,0.05178,0.04511,0.03714,0.02872,0.01382
Usman,0.08562,0.0985,0.10991,0.11296,0.10882,0.10083,0.0868,0.07433,0.05924,0.04795,0.03842,0.02838,0.02077,0.01311,0.00786,0.0044,0.00174,0.00036
Haris,0.00235,0.00799,0.01711,0.03076,0.04822,0.06736,0.08672,0.10306,0.1121,0.11695,0.10935,0.0953,0.07837,0.05553,0.0378,0.02008,0.00884,0.00211
Rumail,0.01037,0.01741,0.02456,0.03196,0.0414,0.05038,0.05711,0.06575,0.07229,0.07606,0.0829,0.08464,0.08564,0.07995,0.07504,0.06388,0.05291,0.02775
Shahzaib,0.00053,0.00096,0.00141,0.00242,0.00334,0.00463,0.00669,0.00913,0.01188,0.01523,0.02005,0.02601,0.03457,0.04613,0.06404,0.09066,0.15864,0.50368
Rayaan,0.00062,0.00167,0.0038,0.00716,0.01164,0.01879,0.02807,0.03842,0.05038,0.06381,0.08129,0.0959,0.11274,0.12121,0.12001,0.11102,0.09005,0.04342
Zayaan,0.00262,0.00861,0.01748,0.03132,0.0494,0.06965,0.08939,0.10333,0.1126,0.11472,0.10805,0.09688,0.07533,0.05512,0.03528,0.01952,0.00856,0.00214
Umran,0.38399,0.23443,0.14901,0.09689,0.05871,0.03541,0.0195,0.01071,0.00627,0.00293,0.00124,0.00051,0.00031,6e-05,3e-05,0.0,0.0,0.0
Subhani,0.07067,0.08758,0.10401,0.11083,0.11375,0.10482,0.09375,0.07732,0.0645,0.0515,0.04035,0.03041,0.02094,0.01413,0.00854,0.00463,0.00174,0.00053
Ibaad,0.0003,0.0011,0.00236,0.0044,0.00742,0.01151,0.01688,0.02383,0.03262,0.04247,0.05528,0.07132,0.08791,0.10864,0.12519,0.14601,0.16002,0.10274
Gondy,0.06557,0.12523,0.1673,0.17642,0.15335,0.11594,0.08155,0.0504,0.03042,0.01739,0.00916,0.00417,0.00183,0.00088,0.00029,9e-05,1e-05,0.0
Sameer A,0.00527,0.00791,0.01233,0.01641,0.02231,0.02932,0.03579,0.04508,0.05112,0.05869,0.06712,0.07655,0.08742,0.09518,0.09785,0.10574,0.11,0.07591
Affan,0.02963,0.03692,0.04482,0.05272,0.06113,0.06653,0.07034,0.0721,0.0741,0.07324,0.07315,0.07165,0.06742,0.06083,0.05209,0.04329,0.03332,0.01672
Khizer B,0.0,0.0,2e-05,9e-05,0.00018,0.00104,0.00219,0.00484,0.00909,0.01856,0.03193,0.05665,0.09333,0.14029,0.18635,0.20673,0.17686,0.07185
Reza,0.00242,0.00418,0.00641,0.01009,0.01393,0.01839,0.02369,0.02931,0.03598,0.04462,0.05306,0.06344,0.07707,0.09055,0.10462,0.12555,0.15978,0.13691
Rafay,0.00245,0.0079,0.01761,0.03225,0.05164,0.07266,0.09561,0.11311,0.11821,0.11726,0.10935,0.09164,0.06869,0.04885,0.02944,0.0155,0.00644,0.00139
